codigo,placa,linha,latitude,longitude,velocidade,sentido,trajeto,timestamp
86884,LSP9604,18,-23.006925,-43.312917,0.0,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],2023-07-18 13:17:14
30522,LRE9805,12,-22.9203,-43.607183,0.0,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],2023-04-18 12:39:03
12734,LSP8673,10,-22.920083,-43.608457,0.0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2023-07-13 00:01:35
A991F39,LUG1F39,0,-22.9516728,-43.3495341,0.0,,,2022-12-11 09:11:10
KWB9798 - APOIO VAN,KWB9798,0,-23.000868,-43.364909,0.0,,,2023-07-18 13:06:54
90006,LRH6D12,10,-22.969358,-43.625065,14.0,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],2023-07-18 13:23:10
30531,LRC6592,20,-22.920057,-43.608316,0.0,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 13:23:01
30524,LRC6601,10,-23.000555,-43.383371,59.9,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],2023-07-18 13:23:15
12731,,12,-22.964718,-43.647772,12.7,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],2023-07-18 13:01:07
86870,LSC9364,0,-22.919682,-43.607591,0.0,,,2023-07-18 13:23:10
13415,KQK7905,10,-22.918101,-43.683082,0.0,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],2023-07-18 13:06:29
10306,KQP6773,19,-22.919442,-43.607595,0.0,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-05-08 21:25:33
901002,,22,-23.000103,-43.346781,0.0,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],2023-07-18 13:22:59
902103,,35,-23.000735,-43.366425,0.0,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],2023-07-18 13:12:54
B13,KYM5979,14,-23.008308333333332,-43.4405,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 13:16:53
B16,LSI3468,14,-22.96139833333333,-43.648426666666666,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 13:00:50
B17,KWY8231,14,-23.008178333333333,-43.44095166666666,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 13:06:32
B18,KRK9729,14,-23.008208333333332,-43.44112666666667,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 13:05:48
B20,LMH6141,14,-23.008338333333334,-43.440931666666664,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 13:11:32
B19,KZJ7238,14,-22.961265,-43.648305,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 13:14:50
B09,KRP3042,17,-22.815253333333334,-43.188356666666664,0.0,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR),2023-05-02 19:34:21
B27,LRK9551,14,-22.961803333333332,-43.64848833333333,2.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE,2023-05-23 13:28:39
B14,KRK9519,14,-23.008303333333334,-43.440625,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 13:17:14
B06,LMS3036,17,-22.81576,-43.18839333333333,0.0,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR),2023-05-02 12:01:13
B11,KRK9516,17,-23.00834,-43.44075,0.0,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR),2023-07-18 13:01:59
B12,LMH5981,14,-23.008426666666665,-43.44090833333333,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 13:09:47
B24,LSO7028,14,-22.967271666666665,-43.64066,57.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 13:23:09
B25,,14,-23.008358333333334,-43.44092666666667,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 12:57:22
B40,,14,-23.008303333333334,-43.440783333333336,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 13:18:45
B41,,14,-23.00826,-43.44066333333333,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 13:19:05
901001,RJD7J89,22,-22.965236,-43.391425,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 13:05:23
B47,,14,-23.00833666666667,-43.440871666666666,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 13:09:27
B048,,14,-23.008081666666666,-43.440538333333336,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 12:55:04
B49,,14,-23.008263333333332,-43.44083833333333,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 11:37:18
B50,,14,-23.007961666666667,-43.44017,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 12:57:34
B52,,14,-23.007931666666668,-43.43999,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 13:22:04
